UID          PID    PPID  C STIME TTY          TIME CMD
cy2550      1743    1673  0 16:18 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
cy2550      1748    1743  0 16:18 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
cy2550      1812    1685  0 16:18 ?        00:00:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
cy2550      1814    1685  0 16:18 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
cy2550      1830    1685  0 16:18 ?        00:00:00 /usr/libexec/gvfsd
cy2550      1839    1685  0 16:18 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
cy2550      1843    1685  0 16:18 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
cy2550      1875    1843  0 16:18 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
cy2550      1888    1875  0 16:18 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
cy2550      1889    1685 13 16:18 ?        00:01:52 /usr/bin/gnome-shell
cy2550      1947    1685  0 16:18 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
cy2550      1968    1685  0 16:18 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
cy2550      1969    1685  0 16:18 ?        00:00:00 /usr/libexec/xdg-permission-store
cy2550      1985    1685  0 16:18 ?        00:00:00 /usr/libexec/evolution-source-registry
cy2550      1987    1685  0 16:18 ?        00:00:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
cy2550      1995    1685  0 16:18 ?        00:00:02 /usr/bin/ibus-daemon --panel disable
cy2550      1996    1685  0 16:18 ?        00:00:00 /usr/libexec/gsd-a11y-settings
cy2550      2005    1685  0 16:18 ?        00:00:00 /usr/libexec/gsd-color
cy2550      2013    1685  0 16:18 ?        00:00:00 /usr/libexec/gsd-datetime
cy2550      2016    1685  0 16:18 ?        00:00:00 /usr/libexec/gsd-housekeeping
cy2550      2021    1685  0 16:18 ?        00:00:00 /usr/libexec/gsd-keyboard
cy2550      2022    1685  0 16:18 ?        00:00:00 /usr/libexec/gsd-media-keys
cy2550      2025    1685  0 16:18 ?        00:00:00 /usr/libexec/gsd-power
cy2550      2028    1685  0 16:18 ?        00:00:00 /usr/libexec/gsd-print-notifications
cy2550      2051    1685  0 16:18 ?        00:00:00 /usr/bin/spice-vdagent
cy2550      2054    1685  0 16:18 ?        00:00:00 /usr/libexec/gsd-rfkill
cy2550      2055    1685  0 16:18 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
cy2550      2058    1685  0 16:18 ?        00:00:00 /usr/libexec/gsd-sharing
cy2550      2065    1685  0 16:18 ?        00:00:00 /usr/libexec/gsd-smartcard
cy2550      2066    1685  0 16:18 ?        00:00:00 /usr/libexec/gsd-sound
cy2550      2069    1685  0 16:18 ?        00:00:00 /usr/libexec/gsd-wacom
cy2550      2106    1685  0 16:18 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
cy2550      2110    1995  0 16:18 ?        00:00:00 /usr/libexec/ibus-dconf
cy2550      2112    1995  0 16:18 ?        00:00:02 /usr/libexec/ibus-extension-gtk3
cy2550      2125    1685  0 16:18 ?        00:00:00 /usr/libexec/ibus-portal
cy2550      2144    1685  0 16:18 ?        00:00:00 /usr/libexec/gsd-printer
cy2550      2146    1685  0 16:18 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
cy2550      2161    1685  0 16:18 ?        00:00:00 /usr/libexec/goa-daemon
cy2550      2177    1685  0 16:18 ?        00:00:00 /usr/libexec/goa-identity-service
cy2550      2183    1685  0 16:18 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
cy2550      2190    1685  0 16:18 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
cy2550      2196    1685  0 16:18 ?        00:00:00 /usr/libexec/evolution-calendar-factory
cy2550      2198    1685  0 16:18 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
cy2550      2207    1889  0 16:18 ?        00:00:00 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.OSK1Q2 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients
cy2550      2215    1685  0 16:18 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
cy2550      2230    1995  0 16:18 ?        00:00:00 /usr/libexec/ibus-engine-simple
cy2550      2268    1830  0 16:18 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.18 /org/gtk/gvfs/exec_spaw/0
cy2550      2291    1685  0 16:18 ?        00:00:00 /usr/libexec/dconf-service
cy2550      2298    1685  0 16:18 ?        00:00:00 /usr/libexec/gsd-xsettings
cy2550      2306    1685  0 16:18 ?        00:00:00 /usr/libexec/xdg-desktop-portal
cy2550      2312    1685  0 16:18 ?        00:00:00 /usr/libexec/xdg-document-portal
cy2550      2321    1685  0 16:18 ?        00:00:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
root        2351    2312  0 16:18 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
cy2550      2408    1685  0 16:18 ?        00:00:00 /usr/libexec/gvfsd-metadata
cy2550      2423    1685  0 16:18 ?        00:00:00 /usr/libexec/ibus-x11
cy2550      2435    1685  0 16:18 ?        00:00:00 /usr/libexec/tracker-miner-fs-3
cy2550      2436    1889  0 16:18 ?        00:00:00 /usr/libexec/mutter-x11-frames
cy2550      2437    1685  0 16:18 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
cy2550      2458    1843  0 16:18 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
cy2550      2468    1843  0 16:18 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
cy2550      2579    1685  0 16:18 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
root        2589       1  0 16:18 ?        00:00:00 /usr/libexec/ubuntu-advantage-desktop-daemon
cy2550      2674    1889  0 16:18 ?        00:00:01 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
cy2550      2820    2674  0 16:19 ?        00:00:00 /usr/bin/python3 /usr/bin/gnome-terminal --wait
cy2550      2821    2820  0 16:19 ?        00:00:00 /usr/bin/gnome-terminal.real --wait
cy2550      2827    1685  0 16:19 ?        00:00:06 /usr/libexec/gnome-terminal-server
cy2550      2834    2827  0 16:19 pts/0    00:00:00 bash
cy2550      2842    1843  0 16:19 ?        00:00:00 /usr/bin/update-notifier
root        3435       2  0 16:23 ?        00:00:00 [kworker/0:1-events]
root        3441       2  0 16:25 ?        00:00:00 [kworker/1:0-inet_frag_wq]
root        3447       2  0 16:25 ?        00:00:00 [kworker/3:2]
cy2550      3464    2674  0 16:27 ?        00:00:00 /usr/bin/python3 /usr/bin/gnome-terminal --wait
cy2550      3465    3464  0 16:27 ?        00:00:00 /usr/bin/gnome-terminal.real --wait
cy2550      3471    2827  0 16:27 pts/1    00:00:00 bash
cy2550      4067    1685  6 16:30 ?        00:00:09 /usr/bin/nautilus --gapplication-service
root        4076       2  0 16:30 ?        00:00:00 [kworker/2:0]
root        4077       2  0 16:30 ?        00:00:00 [kworker/2:2-cgroup_destroy]
cy2550      4111    1830  0 16:30 ?        00:00:00 /usr/libexec/gvfsd-recent --spawner :1.18 /org/gtk/gvfs/exec_spaw/1
root        4126       2  0 16:30 ?        00:00:00 [kworker/4:0-cgroup_destroy]
root        4127       2  0 16:30 ?        00:00:00 [kworker/1:1-events]
root        4128       2  0 16:30 ?        00:00:00 [kworker/u16:0-events_power_efficient]
root        4144       1  0 16:32 ?        00:00:00 /usr/lib/systemd/systemd-hostnamed
cy2550      4151    2834 99 16:32 pts/0    00:00:00 ps -ef
